ds,yhat,yhat_lower,yhat_upper
2024-10-01,121.85152,92.79157774902744,151.75964466997684
2024-11-01,117.60077367123289,86.96342026349983,147.9353139247713
2024-12-01,113.487148191115,85.95843520603063,145.44394417784085
2025-01-01,109.23640186225732,80.01534750419655,139.91068190488215
2025-02-01,104.98565553381519,74.46364154837924,135.312341230415
2025-03-01,101.14627175307857,72.21127211185274,130.1033981174838
2025-04-01,96.8955254245515,65.22888116920154,126.91530238066558
2025-05-01,92.78189994434516,62.18418457098576,124.60462948430614
2025-06-01,88.53115361527341,58.23453204862929,118.64591945177426
2025-07-01,84.4175281355231,54.94971826252038,115.1574487224171
2025-08-01,80.1667818055848,49.36633820584766,109.5961570536888
2025-09-01,75.91603547564652,46.31864941900124,107.70751195731103
2025-10-01,71.80240999506108,43.11168951270651,101.70822224654735
2025-10-31,67.68878451447564,36.349726360020185,96.81120305467398
2025-11-30,63.575159033890216,34.27629226514999,94.61072281331312
2025-12-31,59.32441270395192,31.380083044438162,89.72804859443251
2026-01-31,55.07366637401364,25.347505091233025,85.51946169206347
2026-02-28,51.234282592133894,22.323006966048926,80.60331514118118
2026-03-31,46.9835362621956,17.23490993677106,78.22445858528677
